;WT;RIC;EBV_d2;EBV_d4;EBV_d7;EBV_d14
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS;0;0;1;1;0;0
GOBP_ACETYL_COA_METABOLIC_PROCESS;0;0;0;1;1;0
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION;0;1;0;0;0;0
GOBP_ACTIVATED_T_CELL_PROLIFERATION;0;0;0;0;1;1
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS;1;0;0;0;0;0
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE;0;0;0;0;0;1
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY;0;0;0;0;0;1
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY;0;0;0;0;1;0
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY;0;0;0;0;1;1
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY;0;1;0;1;1;1
GOBP_ACUTE_INFLAMMATORY_RESPONSE;0;1;0;0;0;0
GOBP_ACUTE_PHASE_RESPONSE;0;1;0;0;0;0
GOBP_ACYLGLYCEROL_HOMEOSTASIS;1;1;0;0;0;0
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY;0;0;0;0;1;1
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS;0;0;0;0;1;1
GOBP_ADP_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_ADULT_LOCOMOTORY_BEHAVIOR;0;1;0;0;0;0
GOBP_AEROBIC_RESPIRATION;1;1;1;1;1;1
GOBP_AGING;1;0;0;0;0;0
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS;0;0;1;1;1;1
GOBP_ALCOHOL_CATABOLIC_PROCESS;0;0;0;0;1;0
GOBP_ALCOHOL_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_ALDITOL_METABOLIC_PROCESS;0;0;1;1;1;1
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS;0;1;1;1;1;1
GOBP_ALPHA_BETA_T_CELL_ACTIVATION;0;0;0;0;1;1
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION;0;0;0;0;1;1
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;0;1;0;0;0;0
GOBP_AMINE_BIOSYNTHETIC_PROCESS;1;0;0;0;0;0
GOBP_AMINE_METABOLIC_PROCESS;1;0;0;0;0;0
GOBP_AMINO_ACID_ACTIVATION;0;0;1;1;1;1
GOBP_AMINO_ACID_IMPORT;1;1;0;0;0;0
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE;1;1;0;0;0;0
GOBP_AMINOGLYCAN_METABOLIC_PROCESS;0;1;0;0;0;0
GOBP_AMP_METABOLIC_PROCESS;0;1;0;1;1;1
GOBP_AMYLOID_BETA_CLEARANCE;0;1;0;0;0;0
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS;0;0;1;1;1;1
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT;0;0;0;0;0;1
GOBP_ANATOMICAL_STRUCTURE_MATURATION;0;1;0;0;0;0
GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING;1;1;0;0;0;0
GOBP_ANIMAL_ORGAN_MORPHOGENESIS;0;1;0;0;0;0
GOBP_ANIMAL_ORGAN_REGENERATION;1;1;0;0;0;1
GOBP_ANION_HOMEOSTASIS;0;1;0;0;0;0
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE;0;0;0;0;1;1
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION;1;0;0;0;0;0
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I;1;0;0;0;0;1
